0 15 2
1 14 2
0 13 1
-1 12 2
-1 10 2
-2 10 2
-3 9 3
-3 8 2
-4 7 1
-4 6 2
-6 5 1
-7 3 2
-7 3 3
-9 1 3
-10 2 2
-11 2 3
-12 2 3
-13 1 3
-11 -1 4
-10 -1 4
-11 -2 4
-8 -3 4
-8 -3 4
-6 -4 4
-6 -5 5
-6 -6 4
-4 -7 3
-3 -8 4
-1 -9 4
-2 -10 3
-1 -12 4
-1 -12 4
0 -13 6
1 -12 4
1 -10 5
2 -10 6
2 -9 5
3 -8 5
4 -7 5
4 -6 5
6 -5 5
7 -4 5
9 -3 6
10 -2 6
11 -2 6
11 -1 6
12 -2 6
12 0 7
12 0 7
11 1 7
10 2 7
9 2 7
8 2 7
7 5 7
6 5 7
5 6 7
4 7 7
3 8 6
2 10 7
2 10 7
1 11 8
1 12 6
1 12 8
0 14 8
-1 13 7
-1 12 7
-2 11 8
-2 10 8
-3 10 8
-3 9 8
-4 8 9
-4 6 9
-6 5 9
-6 4 9
-8 2 9
-9 2 10
-10 2 10
-10 1 9
-12 2 9
-13 0 10
-11 -1 10
-11 -2 10
-10 -1 10
-9 -3 10
-8 -3 10
-7 -3 10
-6 -5 9
-5 -6 10
-4 -7 10
-3 -7 10
-2 -9 10
-1 -10 10
-1 -11 10
-1 -12 11
0 -13 11
1 -12 11
1 -11 11
2 -11 12
2 -9 13
3 -8 12
4 -7 13
4 -6 12
6 -5 13
8 -4 12
8 -3 12
9 -3 12
9 -2 12
12 -1 12
12 -1 12
13 0 13
12 1 14
11 1 13
10 2 13
9 2 12
8 3 13
7 4 14
6 6 13
6 6 13
4 7 12
2 8 14
1 9 14
2 9 14
1 11 15
1 12 14
0 13 15
0 14 13
0 15 14
