0 15 2
0 14 2
0 13 2
-1 12 2
-1 11 2
-2 10 2
-3 9 2
-3 8 2
-4 7 2
-5 6 2
-6 5 2
-7 4 2
-8 3 3
-9 2 3
-10 2 3
-11 1 3
-12 1 3
-13 0 3
-12 -1 4
-11 -1 4
-10 -2 4
-9 -3 4
-8 -3 4
-7 -4 4
-6 -5 4
-5 -6 4
-4 -7 4
-3 -8 4
-2 -9 4
-2 -10 4
-1 -11 4
-1 -12 4
0 -13 5
1 -12 5
1 -11 5
2 -10 5
3 -9 5
3 -8 5
4 -7 5
5 -6 5
6 -5 6
7 -4 6
8 -3 6
9 -2 6
10 -2 6
11 -1 6
12 -1 6
13 0 7
12 1 7
11 1 7
10 2 7
9 2 7
8 3 7
7 4 7
6 5 7
5 6 7
4 7 7
3 8 7
2 9 7
2 10 7
1 11 7
1 12 7
1 13 8
0 14 8
-1 13 8
-1 12 8
-1 11 8
-2 10 8
-3 9 8
-3 8 8
-4 7 9
-5 6 9
-6 5 9
-7 4 9
-8 3 9
-9 2 9
-10 2 9
-11 1 9
-12 1 9
-13 0 10
-12 -1 10
-11 -1 10
-10 -2 10
-9 -2 10
-8 -3 10
-7 -4 10
-6 -5 10
-5 -6 10
-4 -7 10
-3 -8 10
-2 -9 10
-2 -10 10
-1 -11 11
-1 -12 11
0 -13 11
1 -12 11
1 -11 11
2 -10 12
2 -9 12
3 -8 12
4 -7 12
5 -6 12
6 -5 12
7 -4 12
8 -3 12
9 -2 12
10 -2 12
11 -1 12
12 -1 12
13 0 13
12 1 13
11 1 13
10 2 13
9 2 13
8 3 13
7 4 13
6 5 13
5 6 13
4 7 13
3 8 14
2 9 14
2 10 14
1 11 14
1 12 14
0 13 14
0 14 14
0 15 14
