0 15 2
-1 15 2
-2 15 2
-3 15 2
-4 14 2
-5 14 2
-6 14 2
-7 13 2
-8 13 2
-9 12 2
-10 11 2
-11 10 2
-12 9 3
-13 8 3
-13 7 3
-14 6 3
-14 5 3
-14 4 3
-15 3 3
-15 2 3
-15 1 3
-15 0 3
-15 -1 3
-15 -2 3
-15 -3 3
-14 -4 3
-14 -5 3
-14 -6 4
-13 -7 4
-13 -8 4
-12 -9 4
-11 -10 4
-10 -11 4
-9 -12 4
-8 -13 4
-7 -13 4
-6 -14 4
-5 -14 4
-4 -15 4
-3 -15 4
-2 -15 5
-1 -15 5
0 -15 5
1 -15 5
2 -15 5
3 -15 5
4 -14 5
5 -14 5
6 -14 5
7 -13 5
8 -13 5
9 -12 5
10 -11 5
11 -10 6
12 -9 6
13 -8 6
13 -7 6
14 -6 6
14 -5 6
14 -4 6
15 -3 6
15 -2 6
15 -1 6
15 0 6
15 1 6
15 2 6
15 3 6
15 4 7
14 5 7
14 6 7
13 7 7
13 8 7
12 9 7
11 10 7
10 11 7
9 12 7
8 13 7
7 13 7
6 14 7
5 14 8
4 14 8
3 15 8
2 15 8
1 15 8
0 15 8
-1 15 8
-2 15 8
-3 15 8
-4 14 8
-5 14 8
-6 14 8
-7 13 8
-8 13 8
-9 12 9
-10 11 9
-11 10 9
-12 9 9
-13 8 9
-14 7 9
-14 6 9
-14 5 9
-14 4 9
-15 3 9
-15 2 9
-15 1 9
-15 0 9
-15 -1 10
-15 -2 10
-15 -3 10
-14 -4 10
-14 -5 10
-14 -6 10
-13 -7 10
-12 -8 10
-12 -9 10
-11 -10 10
-10 -11 10
-9 -12 10
-8 -13 10
-7 -13 10
-6 -14 11
-5 -14 11
-4 -14 11
-3 -15 11
-2 -15 11
-1 -15 11
0 -15 11
1 -15 11
2 -15 11
3 -15 11
4 -14 11
5 -14 11
6 -14 11
7 -13 12
8 -13 12
9 -12 12
10 -11 12
11 -10 12
12 -9 12
12 -8 12
13 -7 12
14 -6 12
14 -5 12
14 -4 12
15 -3 12
15 -2 12
15 -1 12
15 0 13
15 1 13
15 2 13
15 3 13
14 4 13
14 5 13
14 6 13
13 7 13
13 8 13
12 9 13
11 10 13
10 11 13
9 12 13
8 13 14
7 13 14
6 14 14
5 14 14
4 14 14
3 15 14
2 15 14
1 15 14
0 15 14
