-9 9 2
-9 10 2
-9 10 3
-10 10 3
-10 11 3
-11 11 3
-11 11 4
-12 12 4
-12 12 5
-13 12 5
-13 13 5
-14 13 5
-14 13 6
-14 14 6
-15 14 6
-15 14 7
-16 15 7
-16 15 8
-17 15 8
-17 16 8
-17 16 9
-18 16 9
-18 16 10
-19 16 10
-19 17 10
-20 17 11
-21 17 11
-21 17 12
-22 17 12
-22 18 12
-22 18 13
-23 18 13
-23 18 14
-24 18 14
-24 17 14
-25 17 14
-25 16 14
-25 15 14
-25 15 13
-24 15 13
-24 14 13
-24 14 12
-24 13 12
-24 13 11
-23 13 11
-23 12 11
-23 12 10
-22 12 10
-22 11 10
-22 11 9
-21 11 9
-21 10 9
-21 10 8
-20 10 8
-20 10 7
-20 9 7
-19 9 7
-19 9 6
-19 8 6
-18 8 6
-18 8 5
-17 8 5
-17 7 5
-16 7 5
-16 7 4
-16 6 4
-15 6 4
-15 6 3
-14 6 3
-14 5 3
-13 5 3
-13 5 2
-12 5 2
-12 4 2
-11 4 2
-11 4 1
-10 4 1
-10 3 1
-9 3 1
-8 3 1
-8 2 1
-8 2 0
-7 2 0
-6 2 0
-6 1 0
-5 1 0
-4 1 0
-3 0 0
-2 0 0
-1 0 0
0 -1 0
1 -1 0
2 -1 0
3 -1 0
3 -2 0
4 -2 0
5 -2 0
6 -2 0
7 -2 0
7 -3 1
8 -3 1
9 -3 1
10 -3 1
10 -3 2
11 -3 2
12 -3 2
13 -3 3
13 -4 3
14 -4 3
15 -4 3
15 -4 4
16 -4 4
17 -4 5
18 -4 5
18 -4 6
19 -4 6
20 -4 6
20 -4 7
21 -4 7
21 -4 8
22 -4 8
23 -4 9
24 -4 9
24 -3 10
25 -3 10
25 -3 11
26 -3 11
26 -3 12
27 -3 12
27 -3 13
28 -3 13
28 -2 13
28 -2 14
29 -2 14
29 -1 14
29 0 14
29 1 14
28 1 14
28 1 13
28 2 13
27 2 13
27 2 12
26 2 12
26 2 11
25 2 11
25 2 10
24 2 10
24 3 10
24 3 9
23 3 9
22 3 8
21 3 8
21 3 7
20 3 7
20 3 6
19 3 6
18 3 6
18 3 5
17 3 5
16 3 4
15 3 4
15 3 3
14 3 3
13 3 3
13 2 3
13 2 2
12 2 2
11 2 2
10 2 2
10 2 1
9 2 1
8 2 1
7 2 1
7 1 0
6 1 0
5 1 0
4 1 0
3 1 0
3 0 0
2 0 0
1 0 0
0 0 0
-1 -1 0
-2 -1 0
-3 -1 0
-3 -2 0
-4 -2 0
-5 -2 0
-6 -2 0
-6 -3 0
-7 -3 0
-8 -3 0
-8 -3 1
-8 -4 1
-9 -4 1
-10 -4 1
-10 -5 1
-11 -5 1
-11 -5 2
-12 -5 2
-12 -6 2
-13 -6 2
-13 -6 3
-14 -6 3
-14 -7 3
-15 -7 3
-15 -7 4
-16 -7 4
-16 -8 4
-16 -8 5
-17 -8 5
-17 -9 5
-18 -9 5
-18 -9 6
-19 -9 6
-19 -10 6
-19 -10 7
-20 -10 7
-20 -11 7
-20 -11 8
-21 -11 8
-21 -11 9
-21 -12 9
-22 -12 9
-22 -12 10
-22 -13 10
-23 -13 10
-23 -13 11
-23 -14 11
-24 -14 11
-24 -14 12
-24 -15 12
-24 -15 13
-24 -16 13
-25 -16 13
-25 -16 14
-25 -17 14
-25 -18 14
-24 -18 14
-24 -19 14
-23 -19 14
-23 -19 13
-22 -19 13
-22 -19 12
-22 -18 12
-21 -18 12
-21 -18 11
-20 -18 11
-19 -18 10
-19 -17 10
-18 -17 10
-18 -17 9
-17 -17 9
-17 -17 8
-17 -16 8
-16 -16 8
-16 -16 7
-15 -15 7
-15 -15 6
-14 -15 6
-14 -14 6
-14 -14 5
-13 -14 5
-13 -13 5
-12 -13 5
-12 -13 4
-11 -12 4
-11 -12 3
-10 -12 3
-10 -11 3
-9 -11 3
-9 -10 2
-8 -10 2
-8 -9 2
-7 -9 1
-7 -8 1
-6 -8 1
-6 -7 1
-5 -7 1
-5 -6 0
-4 -5 0
-4 -4 0
-3 -4 0
-3 -3 0
-2 -3 0
-2 -2 0
-1 -2 0
0 1 0
1 1 0
1 2 0
2 2 0
2 3 0
2 4 0
3 4 0
3 5 0
3 6 0
4 6 0
4 6 1
4 7 1
5 7 1
5 8 1
5 9 1
5 9 2
6 9 2
6 10 2
6 11 2
6 11 3
7 11 3
7 12 3
7 13 3
7 13 4
7 14 4
8 14 4
8 15 4
8 15 5
8 16 5
8 16 6
9 16 6
9 17 6
9 18 6
9 18 7
9 19 7
9 19 8
9 20 8
10 20 8
10 20 9
10 21 9
10 22 9
10 22 10
10 23 10
